Feature Name,Importance Score,Normalized Importance,Notes
cam4_occupancy_by_zone_middle,0.0047864019360601,0.0047864019360601,Measures road space occupied by vehicles - key congestion indicator
cam4_density_score,0.004784755349513399,0.004784755349513399,Additional traffic pattern indicator
cam4_occupancy_by_zone_top,0.0046985748747469525,0.0046985748747469525,Measures road space occupied by vehicles - key congestion indicator
cam1_occupancy_by_zone_top,0.004677349497047944,0.004677349497047944,Measures road space occupied by vehicles - key congestion indicator
cam1_directional_flow_down,0.00467734054453288,0.00467734054453288,Additional traffic pattern indicator
cam3_vehicles_in_lanes_center,0.004648230675769349,0.004648230675769349,Additional traffic pattern indicator
cam4_vehicle_count,0.004554904554994846,0.004554904554994846,Number of vehicles detected - direct traffic volume measure
cam1_vehicles_in_lanes_top,0.00445034039464882,0.00445034039464882,Additional traffic pattern indicator
cam4_queue_length,0.004316003044833598,0.004316003044833598,Estimated queue length - critical for delay classification
cam4_vehicles_in_lanes_center,0.004231149858475392,0.004231149858475392,Additional traffic pattern indicator
cam4_vehicles_in_lanes_left,0.004194980887735341,0.004194980887735341,Additional traffic pattern indicator
cam1_occupancy_by_zone_left,0.003996422680530134,0.003996422680530134,Measures road space occupied by vehicles - key congestion indicator
cam1_vehicles_in_lanes_left,0.003940664191025313,0.003940664191025313,Additional traffic pattern indicator
cam4_vehicles_in_lanes_top,0.002819673065866509,0.002819673065866509,Additional traffic pattern indicator
cam1_motorcycle_count,0.002752483147425799,0.002752483147425799,Additional traffic pattern indicator
cam3_motorcycle_count,0.0025444233278690775,0.0025444233278690775,Additional traffic pattern indicator
cam4_occupancy_by_zone_bottom,0.001994887765173077,0.001994887765173077,Measures road space occupied by vehicles - key congestion indicator
cam4_vehicles_in_lanes_bottom,0.0018697003487750585,0.0018697003487750585,Additional traffic pattern indicator
cam1_vehicles_in_lanes_bottom,0.0,0.0,Additional traffic pattern indicator
cam3_occupancy_by_zone_right,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam4_vehicles_in_lanes_right,0.0,0.0,Additional traffic pattern indicator
cam2_vehicles_in_lanes_right,0.0,0.0,Additional traffic pattern indicator
cam2_occupancy_by_zone_bottom,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam4_occupancy_by_zone_right,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam2_vehicles_in_lanes_bottom,0.0,0.0,Additional traffic pattern indicator
cam1_vehicles_in_lanes_right,0.0,0.0,Additional traffic pattern indicator
cam1_occupancy_by_zone_bottom,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam2_occupancy_by_zone_right,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam3_occupancy_by_zone_bottom,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam1_occupancy_by_zone_right,0.0,0.0,Measures road space occupied by vehicles - key congestion indicator
cam3_vehicles_in_lanes_bottom,0.0,0.0,Additional traffic pattern indicator
cam3_vehicles_in_lanes_right,0.0,0.0,Additional traffic pattern indicator
